01/01/2025 06:15;2.80;65
01/01/2025 12:30;4.20;65
01/01/2025 18:45;2.90;65
02/01/2025 00:30;4.10;67
02/01/2025 07:00;2.70;67
02/01/2025 13:15;4.30;67
02/01/2025 19:30;2.80;67
03/01/2025 01:15;4.00;70
03/01/2025 07:45;2.60;70
03/01/2025 14:00;4.40;70
03/01/2025 20:15;2.70;70
04/01/2025 02:00;3.90;72
04/01/2025 08:30;2.50;72
04/01/2025 14:45;4.50;72
04/01/2025 21:00;2.60;72
05/01/2025 02:45;3.80;75
05/01/2025 09:15;2.40;75
05/01/2025 15:30;4.60;75
05/01/2025 21:45;2.50;75
06/01/2025 03:30;3.70;77
06/01/2025 10:00;2.30;77
06/01/2025 16:15;4.70;77
06/01/2025 22:30;2.40;77
07/01/2025 04:15;3.60;80
07/01/2025 10:45;2.20;80
07/01/2025 17:00;4.80;80
07/01/2025 23:15;2.30;80
